Channel,Date,CA hotel target,CA flight target,Cost,Sum_Install,CA_hotel,CA_flight,Total Budget,CA_hotel_log,CA_flight_log,Cost_log,Budget_log,Tier
ios-Facebook App Install,1-Jun,29400,41538,1383.86,1177,106,134,400000,2.025305865,2.127104798,3.141092156,5.602059991,NORMAL
ios-Facebook App Install,1-Jul,27300,53846,8464.62,2496,198,175,500000,2.29666519,2.243038049,3.927607466,5.698970004,NORMAL
ios-Facebook App Install,1-Aug,25200,33500,5167.82,1632,123,148,300000,2.089905111,2.170261715,3.713307378,5.477121255,NORMAL
ios-Facebook App Install,1-Sep,29-Jun,42000,22118.78,1972,145,173,350000,2.161368002,2.238046103,4.344761169,5.544068044,NORMAL
ios-Facebook App Install,1-Oct,12300,20000,10479.75,2249,190,234,300000,2.278753601,2.369215857,4.020350922,5.477121255,NORMAL
ios-Facebook App Install,1-Nov,12900,23000,4842.5,1932,195,248,325000,2.290034611,2.394451681,3.685069629,5.511883361,NORMAL
ios-Facebook App Install,1-Dec,14400,24000,3733.22,9805,666,565,350000,2.823474229,2.752048448,3.572083584,5.544068044,NORMAL
ios-Facebook App Install,1-Jan,12300,18000,3802.62,10031,861,917,320000,2.935003151,2.962369336,3.580082928,5.505149978,NORMAL
ios-Facebook App Install,1-Feb,12900,20500,5249.55,5680,582,662,346300,2.764922985,2.820857989,3.720122077,5.539452492,NORMAL
ios-Facebook App Install,1-Mar,14400,23000,10189.19,9791,839,986,448100,2.923761961,2.993876915,4.008139661,5.651374944,NORMAL
ios-Facebook App Install,1-Apr,15000,36500,13894.79,4255,842,753,629800,2.925312091,2.876794976,4.142851987,5.799202656,NORMAL
ios-Facebook App Install,1-May,22500,34500,14975.34,2627,618,654,767400,2.790988475,2.815577748,4.175376691,5.885021795,NORMAL
ios-Facebook App Install,1-Jun,24750,40000,38882.34,3463,602,709,1318450,2.779596491,2.850646235,4.589752394,6.120063665,NORMAL
ios-inMobi App Install,1-Jan,8400,20000,10455,2248,66,126,250000,1.819543936,2.100370545,4.019324037,5.397940009,NORMAL
ios-inMobi App Install,1-Feb,11000,20000,#N/A,#N/A,#N/A,#N/A,200000,#N/A,#N/A,#N/A,5.301029996,NORMAL
ios-inMobi App Install,1-Mar,12800,27692,#N/A,#N/A,#N/A,#N/A,250000,#N/A,#N/A,#N/A,5.397940009,NORMAL
ios-inMobi App Install,1-Apr,18000,29230,#N/A,#N/A,#N/A,#N/A,200000,#N/A,#N/A,#N/A,5.301029996,NORMAL
ios-inMobi App Install,1-May,23000,30769,#N/A,#N/A,#N/A,#N/A,250000,#N/A,#N/A,#N/A,5.397940009,NORMAL
ios-inMobi App Install,1-Jun,29400,41538,#N/A,#N/A,#N/A,#N/A,400000,#N/A,#N/A,#N/A,5.602059991,NORMAL
