"Date","Channel","Tier","CA_hotel_target","CA_flight_target","Cost","Sum_Install","CA_hotel","CA_flight","Total_budget"
"1-Jan","ios  -  inMobi App Install","NORMAL",8400,20000,10455,2248,66,126,250000
"1-Feb","ios  -  inMobi App Install","NORMAL",11000,20000,NA,NA,NA,NA,200000
"1-Mar","ios  -  inMobi App Install","NORMAL",12800,27692,NA,NA,NA,NA,250000
"1-Apr","ios  -  inMobi App Install","NORMAL",18000,29230,NA,NA,NA,NA,200000
"1-May","ios  -  inMobi App Install","NORMAL",23000,30769,NA,NA,NA,NA,250000
"1-Jun","ios  -  inMobi App Install","NORMAL",29400,41538,NA,NA,NA,NA,400000
"1-Jul","ios  -  inMobi App Install","NORMAL",27300,53846,9693,3780,233,259,500000
"1-Aug","ios  -  inMobi App Install","NORMAL",25200,33500,7777.5,3721,148,178,300000
"1-Sep","ios  -  inMobi App Install","NORMAL",NA,42000,NA,NA,NA,NA,350000
"1-Oct","ios  -  inMobi App Install","NORMAL",12300,20000,NA,NA,NA,NA,300000
"1-Nov","ios  -  inMobi App Install","NORMAL",12900,23000,NA,NA,NA,NA,325000
"1-Dec","ios  -  inMobi App Install","NORMAL",14400,24000,NA,NA,NA,NA,350000
"1-Jan","ios  -  inMobi App Install","NORMAL",12300,18000,NA,NA,NA,NA,320000
"1-Feb","ios  -  inMobi App Install","NORMAL",12900,20500,NA,NA,NA,NA,346300
"1-Mar","ios  -  inMobi App Install","NORMAL",14400,23000,NA,NA,NA,NA,448100
"1-Apr","ios  -  inMobi App Install","NORMAL",15000,36500,NA,NA,NA,NA,629800
"1-May","ios  -  inMobi App Install","NORMAL",22500,34500,1084.6,613,17,32,767400
"1-Jun","ios  -  inMobi App Install","NORMAL",24750,40000,8950.5,4901,187,226,1318450
"1-Mar","ios  -  Mundomedia App Install","NORMAL",14400,23000,701.8,573,24,32,448100
"1-Apr","ios  -  Mundomedia App Install","NORMAL",15000,36500,1796.3,1484,102,88,629800
"1-May","ios  -  Mundomedia App Install","NORMAL",22500,34500,27303.05,18809,371,497,767400
"1-Jun","ios  -  Mundomedia App Install","NORMAL",24750,40000,30454.6,25578,1190,1698,1318450
"1-Jun","ios  -  UAC App Install","NORMAL",29400,41538,858.19,51,1,0,400000
"1-Jul","ios  -  UAC App Install","NORMAL",27300,53846,3563.94,8,1,1,500000
"1-Aug","ios  -  UAC App Install","NORMAL",25200,33500,NA,NA,NA,NA,300000
"1-Sep","ios  -  UAC App Install","NORMAL",NA,42000,NA,NA,NA,NA,350000
"1-Oct","ios  -  UAC App Install","NORMAL",12300,20000,15044.02,3720,150,133,300000
"1-Nov","ios  -  UAC App Install","NORMAL",12900,23000,37634.84,9746,479,591,325000
"1-Dec","ios  -  UAC App Install","NORMAL",14400,24000,49787.12,25777,1426,1436,350000
"1-Jan","ios  -  UAC App Install","NORMAL",12300,18000,36177.38,25674,1826,2181,320000
"1-Feb","ios  -  UAC App Install","NORMAL",12900,20500,22610.83,24023,1879,2159,346300
"1-Mar","ios  -  UAC App Install","NORMAL",14400,23000,26860.5,28331,2457,2774,448100
"1-Apr","ios  -  UAC App Install","NORMAL",15000,36500,31140.88,34676,3398,3262,629800
"1-May","ios  -  UAC App Install","NORMAL",22500,34500,55507.7,33523,3428,3867,767400
"1-Jun","ios  -  UAC App Install","NORMAL",24750,40000,68579.94,43860,3949,5119,1318450
