"reporting_date","platform","channel_group","total_cost_usd"
"12/12/2016","ios","Facebook App Install",177.82
"12/12/2016","android","GDN App Install",4553.45
"12/12/2016","android","Facebook App Install",3151.33
"12/12/2016","android","Facebook DPA",0
"12/12/2016","android","BBM App Install",792
"12/12/2016","android","Instagram App Install",0
"12/12/2016","ios","Facebook DPA",0
"12/12/2016","ios","BBM App Install",66
"12/12/2016","ios","GDN App Install",1524.68
"12/12/2016","ios","UAC App Install",0
"12/12/2016","android","Glispa App Install",1018.6
"12/12/2016","android","Iron Source App Install",572.4
"12/12/2016","android","inMobi App Install",1233.4
"12/12/2016","ios","inMobi App Install",0
"12/12/2016","android","UAC App Install",0
"12/12/2016","ios","Instagram App Install",0
"12/11/2016","android","Glispa App Install",957
"12/11/2016","ios","GDN App Install",1360.21
"12/11/2016","android","Instagram App Install",0
"12/11/2016","ios","UAC App Install",0
"12/11/2016","android","inMobi App Install",1229.2
"12/11/2016","ios","Instagram App Install",0
"12/11/2016","android","BBM App Install",854.4
"12/11/2016","ios","Facebook DPA",0
"12/11/2016","ios","BBM App Install",68.4
"12/11/2016","android","Facebook DPA",0
"12/11/2016","android","UAC App Install",0
"12/11/2016","android","GDN App Install",3985.36
"12/11/2016","ios","inMobi App Install",0
"12/11/2016","android","Iron Source App Install",617.4
"12/11/2016","android","Facebook App Install",3204.26
"12/11/2016","ios","Facebook App Install",141.89
"12/10/2016","android","Instagram App Install",0
"12/10/2016","android","UAC App Install",0
"12/10/2016","android","GDN App Install",3965.91
"12/10/2016","android","Glispa App Install",950.4
"12/10/2016","android","BBM App Install",810
"12/10/2016","android","Facebook App Install",3208.82
"12/10/2016","android","Facebook DPA",0
"12/10/2016","ios","BBM App Install",68.4
"12/10/2016","ios","GDN App Install",1398.66
"12/10/2016","ios","inMobi App Install",0
"12/10/2016","android","Iron Source App Install",639.9
"12/10/2016","ios","Facebook App Install",162.46
"12/10/2016","android","inMobi App Install",1524.6
"12/10/2016","ios","Instagram App Install",0
"12/10/2016","ios","Facebook DPA",0
"12/10/2016","ios","UAC App Install",0
"12/9/2016","android","inMobi App Install",1839.6
"12/9/2016","android","UAC App Install",0
"12/9/2016","ios","Facebook App Install",146.37
"12/9/2016","android","Facebook App Install",3129.47
"12/9/2016","android","Iron Source App Install",677.7
"12/9/2016","ios","BBM App Install",58.8
"12/9/2016","android","Facebook DPA",0
"12/9/2016","ios","UAC App Install",0
"12/9/2016","android","BBM App Install",811.2
"12/9/2016","ios","inMobi App Install",0
"12/9/2016","ios","Facebook DPA",0
"12/9/2016","android","Glispa App Install",602.8
"12/9/2016","android","Instagram App Install",0
"12/9/2016","android","GDN App Install",4100.88
"12/9/2016","ios","Instagram App Install",0
"12/9/2016","ios","GDN App Install",1194.37
"12/8/2016","ios","Facebook App Install",132.07
"12/8/2016","android","Facebook DPA",0
"12/8/2016","android","UAC App Install",0
"12/8/2016","android","Iron Source App Install",666.9
"12/8/2016","android","Instagram App Install",0
"12/8/2016","ios","BBM App Install",40.8
"12/8/2016","ios","GDN App Install",1506.89
"12/8/2016","android","Glispa App Install",1155
"12/8/2016","ios","Instagram App Install",0
"12/8/2016","ios","inMobi App Install",0
"12/8/2016","android","inMobi App Install",1937.6
"12/8/2016","android","BBM App Install",624
"12/8/2016","ios","UAC App Install",0
"12/8/2016","android","GDN App Install",4140.8
"12/8/2016","android","Facebook App Install",3134.03
"12/8/2016","ios","Facebook DPA",0
"12/7/2016","ios","Facebook App Install",151.78
"12/7/2016","android","Instagram App Install",0
"12/7/2016","ios","inMobi App Install",0
"12/7/2016","android","Iron Source App Install",1341
"12/7/2016","android","BBM App Install",679.2
"12/7/2016","android","Facebook DPA",0
"12/7/2016","ios","GDN App Install",1521.88
"12/7/2016","android","Facebook App Install",3111.9
"12/7/2016","ios","BBM App Install",55.2
"12/7/2016","ios","UAC App Install",0
"12/7/2016","android","inMobi App Install",2105.6
"12/7/2016","android","UAC App Install",0
"12/7/2016","android","Glispa App Install",1126.4
"12/7/2016","ios","Instagram App Install",0
"12/7/2016","android","GDN App Install",3735.89
"12/7/2016","ios","Facebook DPA",0
"12/6/2016","ios","UAC App Install",0
"12/6/2016","android","UAC App Install",0
"12/6/2016","android","Instagram App Install",0
"12/6/2016","ios","inMobi App Install",0
"12/6/2016","android","Facebook App Install",3237.2
"12/6/2016","android","BBM App Install",834
"12/6/2016","android","GDN App Install",4108.97
"12/6/2016","ios","Facebook App Install",145.32
"12/6/2016","ios","BBM App Install",63.6
"12/6/2016","ios","Instagram App Install",0
"12/6/2016","ios","GDN App Install",1543.78
"12/6/2016","android","Iron Source App Install",912.6
"12/6/2016","android","inMobi App Install",2878.4
"12/6/2016","ios","Facebook DPA",0
"12/6/2016","android","Facebook DPA",0
"12/6/2016","android","Glispa App Install",293.7
"12/5/2016","android","Iron Source App Install",876.6
"12/5/2016","android","Facebook DPA",0
"12/5/2016","ios","inMobi App Install",0
"12/5/2016","android","inMobi App Install",3148.6
"12/5/2016","android","UAC App Install",0
"12/5/2016","android","BBM App Install",867.6
"12/5/2016","android","Facebook App Install",3202.27
"12/5/2016","ios","Facebook App Install",124.92
"12/5/2016","ios","Facebook DPA",0
"12/5/2016","android","Instagram App Install",0
"12/5/2016","ios","GDN App Install",1561.8
"12/5/2016","ios","UAC App Install",0
"12/5/2016","android","Glispa App Install",55
"12/5/2016","ios","BBM App Install",81.6
"12/5/2016","android","GDN App Install",4825.19
"12/4/2016","android","Iron Source App Install",889.2
"12/4/2016","android","GDN App Install",5219.53
"12/4/2016","android","Facebook App Install",2875.42
"12/4/2016","ios","BBM App Install",62.4
"12/4/2016","ios","inMobi App Install",0
"12/4/2016","android","BBM App Install",734.4
"12/4/2016","ios","Facebook App Install",139.63
"12/4/2016","android","Glispa App Install",326.7
"12/4/2016","android","Instagram App Install",0
"12/4/2016","ios","UAC App Install",0
"12/4/2016","android","Facebook DPA",0
"12/4/2016","ios","GDN App Install",1524.71
"12/4/2016","ios","Instagram App Install",0
"12/4/2016","ios","Facebook DPA",0
"12/4/2016","android","inMobi App Install",3068.8
"12/4/2016","android","UAC App Install",0
"12/3/2016","android","Facebook DPA",0
"12/3/2016","android","BBM App Install",770.4
"12/3/2016","ios","GDN App Install",1523.75
"12/3/2016","android","Glispa App Install",86.9
"12/3/2016","ios","inMobi App Install",0
"12/3/2016","android","Iron Source App Install",862.2
"12/3/2016","android","Facebook App Install",2853.56
"12/3/2016","ios","UAC App Install",0
"12/3/2016","ios","BBM App Install",61.2
"12/3/2016","android","UAC App Install",0
"12/3/2016","android","Instagram App Install",0
"12/3/2016","android","inMobi App Install",2854.6
"12/3/2016","ios","Facebook App Install",127.27
"12/3/2016","ios","Facebook DPA",0
"12/3/2016","android","GDN App Install",5394.99
"12/3/2016","ios","Instagram App Install",0
"12/2/2016","android","Facebook App Install",2796.41
"12/2/2016","android","Glispa App Install",85.8
"12/2/2016","android","Facebook DPA",0
"12/2/2016","ios","GDN App Install",1681.77
"12/2/2016","android","inMobi App Install",2982
"12/2/2016","android","GDN App Install",5562.39
"12/2/2016","android","BBM App Install",667.2
